date_template;date_desc;date_key;date_example;julia_regex
DD/MM/YYYY;British/French 4  digit year;DDslMMslYYYY;02/01/2006;(\d\d)/(\d\d)/(\d\d\d\d)
DD/MM/YY;British French 2 digit year;DDslMMslYY;02/01/06;(\d\d)/(\d\d)/(\d\d)
D/M/YY;British French 1 digit day and mth 2 digit year;DslMslYY;2/1/06;(\d)/(\d)/(\d\d)
DD/M/YY;British French 1 digit mth 2 digit year;DDslMslYY;02/1/06;(\d\d)/(\d)/(\d\d)
D/M/YYYY;British French 1 digit day and mth 4 digit year;DslMslYYYY;2/1/2006;(\d)/(\d)/(\d\d\d\d)
DD/M/YYYY;British French 1 digit mth 4 digit year;DDslMslYYYY;02/1/2006;(\d\d)/(\d)/(\d\d\d\d)
D/MM/YY;British French 1 digit day 2 digit year;DslMMslYY;2/01/06;(\d)/(\d\d)/(\d\d)
D/MM/YYYY;British French 1 digit day 4 digit year;DslMMslYYYY;2/01/2006;(\d)/(\d\d)/(\d\d\d\d)
DD/MM/YYYY HH:MM:SS;British/French 4  digit year time;DDslMMslYYYYspHHcolMMcolSS;02/01/2006 03:04:05;(\d\d)/(\d\d)/(\d\d\d\d)\s(\d\d):(\d\d):(\d\d)
D/MM/YYYY HH:MM:SS;British/French 1 digit day 4  digit year time;DslMMslYYYYspHHcolMMcolSS;2/01/2006 03:04:05;(\d)/(\d\d)/(\d\d\d\d)\s(\d\d):(\d\d):(\d\d)
DD.MM.YYYY;German 4 digit year;DDdoMMdoYYYY;02.01.2006;(\d\d).(\d\d).(\d\d\d\d)
DD.MM.YY;German 2 digit year;DDdoMMdoYY;02.01.06;(\d\d).(\d\d).(\d\d)
D.MM.YY;German 1 digit day 2 digit year;DdoMMdoYY;2.01.06;(\d).(\d\d).(\d\d) 
D.MM.YYYY;German 1 digit day 4 digit year;DoMMdoYYYY;2.01.2006;(\d).(\d\d).(\d\d\d\d)
DD.M.YY;German 1 digit mth 2 digit year;DDdoMdoYY;02.1.06;(\d\d).(\d).(\d\d)
DD.M.YYYY;German 1 digit mth 4 digit year;DDdoMdoYYYY;02.1.2006;(\d\d).(\d).(\d\d\d\d)
D.M.YY;German 1 digit day and mth 2 digit year;DdoMdoYY;2.1.06;(\d).(\d).(\d\d)
D.M.YYYY;German 1 digit day and mth 4 digit year;DdoMdoYYYY;2.1.2006;(\d).(\d).(\d\d\d\d) 
DD-MM-YY;Italian 2 digit year;DDhyMMhyYY;02-01-06;(\d)-(\d\d)-(\d\d\d\d)
DD-MM-YYYY;Italian 4 digit year;DDhyMMhyYYYY;02-01-2006;(\d\d)-(\d\d)-(\d\d\d\d)
D-MM-YY;Italian 1 digit day 2 digit year;DhyMMhyYY;2-01-06;(\d)-(\d\d)-(\d\d)
D-MM-YYYY;Italian 1 digit day 4 digit year;DhyMMhyYYYY;2-01-2006;(\d)-(\d\d)-(\d\d\d\d)
DD-M-YY;Italian 1 digit mth 2 digit year;DDhyMhyYY;02-1-06;(\d\d)-(\d)-(\d\d)
DD-M-YYYY;Italian 1 digit mth 4 digit year;DDhyMhyYYYY;02-1-2006;(\d\d)-(\d)-(\d\d\d\d)
D-M-YY;Italian 1 digit day and 1 digit mth 2 digit year;DhyMhyYY;2-1-06;(\d)-(\d)-(\d\d)
D-M-YYYY;Italian 1 digit day and 1 digit mth 4 digit year;DhyMhyYYYY;2-1-2006;(\d)-(\d)-(\d\d\d\d)
DD Mon YYYY;Day Mon 4 digit year;DDspMonspYYYY;02 Jan 2006;(\d\d)\s(.{3})\s(\d\d\d\d)
DD Mon YY;Day Mon 2 digit year;DDspMonspYY;02 Jan 06;(\d+)\s(.{3})\s(\d\d)
